"sample_id","estimate_tumor","quantiseq_cd8","epic_caf","epic_bcells","rectangle_aggregated_B_cells","rectangle_aggregated_CAFs","rectangle_aggregated_Tumor_cells","rectangle_aggregated_Dendritic_cells","rectangle_aggregated_Endothelial_cells","rectangle_aggregated_Macrophages","rectangle_aggregated_Monocytes","rectangle_aggregated_NK_cells","rectangle_aggregated_PVL","rectangle_aggregated_T_cells"
"14BR014",0.682361099454023,0.00732110503364569,0.19826482845691,0.0138715598447164,0.112729976938151,0.14806562312392,0.627328131069492,0.000331958115599012,0.0490737166374571,0.0512607200390884,0.00218049807932133,1.98910295033283e-08,0,0.00577954211044434
"06BR005",0.647817596270691,0.0043892140820072,0.262420194012664,0.00220663788526328,0.0155485774759974,0.123763677184607,0.671611559737455,0,0.0522510589012325,0.0769192893133736,0.000716472000901113,0.000633134924466984,0.00315762736809053,0.054924789809548
"01BR010",0.727446998460328,0.00014562925577301,0.28894152899757,0.000802345017677291,0.028804235807338,0.322168102169074,0.568980367200135,0,0.0230529133134641,0.0346840658483081,0.000450948799881321,1.11267215747747e-06,1.44282077902382e-06,0.0217149831802699
"11BR024",0.591473307514306,0.0979102450370967,0.0643644900159574,0.0278740104578958,0.293882061670333,0.0256355404563962,0.408166511397629,0,0.0421729523370193,0.0901827053956017,0.00767729856652036,3.97225712711325e-07,5.64365050976832e-08,0.110337224953861
"11BR053",0.815129548092807,0.00090894351624891,0.179016466744597,0.00270137537269302,0.0118519066871975,0.0958182792120146,0.816210043695617,0,0.023549804464438,0.0498580781537291,0.00154194727228944,0,1.72329303586488e-10,0.000936020828868421
"11BR075",0.651364508963079,0.0103101840399552,0.160068636826546,0.00355850363689818,0.0230189053590651,0.135500821923997,0.676657450420906,0,0.050538202926279,0.11383640042781,0,0,1.05225499496853e-08,0
"03BR012",0.861554895794703,3.19328578607356e-05,0.0527505298983251,0.0109303285551441,0.0315675052216251,0.10950345989993,0.759258936801609,0,0.0552343891933975,0.00806401791546102,0,8.86902869767761e-05,0.0337832143699126,0.00249978631108905
"11BR003",0.484800148594111,0.0981879546294534,0.0673455974316476,0.0533972294952498,0.299060769923053,0.0227909287732994,0.408581249583569,0.00352103033539377,0.0163275108450288,0.0797820722024957,0.00277836794194963,1.04808471808808e-07,1.51769703208052e-07,0.145233454354118
"11BR080",0.518737817193134,0.0376147514766586,0.0865731549738533,0.0151321273330003,0.192285805967022,0.0583126320918197,0.430719153747185,6.46592841823107e-09,0.0532805905295251,0.165475706353432,7.77493729441477e-09,5.56069021711158e-08,2.95202100409853e-08,0.0878928646669654
"11BR049",0.630409384135697,0.0308347414615368,0.226042822238109,0.00885459133501121,0.132784681208804,0.157036650353487,0.542023822161477,0,0.0239346071443314,0.0752843007674955,0.0293241480547135,0.00356784365944662,4.38124325560826e-08,0.0333336193254567
"01BR040",0.515949452961181,0.0216896587948654,0.0525665960961726,0.0461157515219423,0.434589993010529,0.01644744331244,0.316241155310683,0.00425777579561416,0.0134581375905514,0.113154919704514,0,3.33638594277845e-05,0,0.0812845078779505
"11BR018",0.430369534935642,0.0340808325615711,0.279204406721743,0.025457045365773,0.130409681566939,0.227566800936224,0.385811405433503,0.00210233441501191,0.0702022861487694,0.0687974708292413,0.001112246081924,1.55790683136382e-07,0,0.111734010770595
"13BR009",0.772248961151691,0.00180837168962953,0.216723479097376,0.000127960014153163,0,0.126787091688631,0.811085410790664,7.2847462261416e-05,0.0183477528369542,0.0270378318207876,0.00116247514206327,0,1.77813907448495e-09,0.0146648312067358
"03BR005",0.565253045269088,0.00589816478103827,0.219965241087906,0.00288975123948309,0.0210919187139677,0.211978481195551,0.55765155530839,0,0.141652799376351,0.0323067827176871,0.00023600485216806,0,0.0245294367239821,0.00964106978668344
"11BR032",0.534780395816995,0.0167770366999399,0.418765299560824,0.00746436998850084,0.115181139954389,0.20124777132294,0.316850745424545,0,0.105269410866177,0.00212834707511027,0.183966844361776,3.44940288873064e-08,0.024330466980427,0.0494374088014948
"06BR003",0.600453047677334,0.00804047993467335,0.191022625600303,0.0447144189422506,0.204231903980803,0.073650074447061,0.636803832736838,0.00194309024262919,0.0165731247745717,0.0481082767544243,5.06972787349127e-05,0,0,0.0113190082030501
"11BR006",0.62145390924408,0,0.165151167233521,0.0051011454180808,0.0361723715869939,0.102272926255273,0.640789297679545,0,0.0704894348695198,0.137229792836173,1.50387759352378e-09,0,0.013045517282294,6.57986323826399e-07
"01BR008",0.494578164981396,0.0313782444850762,0.0274285557640873,0.128170277783217,0.384901883217093,0.0189966470822614,0.393657727419526,0.00301452045273387,0.00944989073728545,0.0642794161327272,0,0.000620245111275673,0.000572152490842725,0.101588088033365
"21BR002",0.504113654121123,0.0110946288456475,0.248060021619678,0.000395314954607918,0.0115280541832115,0.174482802852468,0.542021542873361,1.0444489355773e-07,0.0298290441663555,0.194782244796804,0,2.13732978174342e-09,0.000669777796138755,0.04668625239998
"11BR043",0.492026812924534,0.0413702029154909,0.139531290785793,0.0201047562259388,0.0778367723617038,0.0618103757481512,0.59520477785951,0.000140801207549174,0.0282390793373285,0.098814356106868,0,4.80878157853257e-09,6.90344561493792e-09,0.134877744905895
"11BR009",0.764692959054922,0.01519996830469,0.0226341902063275,0.0121153663037086,0.136616989707397,0.0153911252941044,0.696176524528723,0,0.0314420906724394,0.0591273160521715,0.000228147387573193,1.36536843471486e-08,0.00413164890232606,0.0565992520213851
"01BR033",0.522243868602095,0.00814132756645567,0.176831460306869,0.0164504377496978,0.177436137265443,0.0654901758470319,0.634944018171542,0,0.055593851747737,0.0435960928658955,0,1.01649387263602e-08,0.00379385191269032,0.0169366415914338
"20BR007",0.559693803042344,0.00952934155269634,0.147546060435278,0.0173275263408236,0.330386535456925,0.0525442464644049,0.501613437749694,0.0047250809080502,0.0127176917288354,0,0.0354388912108964,0,0.0250366809725452,0.0304118709941736
"20BR001",0.68434598243136,1.82094622165435e-05,0.0177217106327138,0.00250841315185277,0.0430433742461713,0.0320906686158233,0.74585137344245,0,0.0233065025548498,0.123141838472773,0,8.27729542146772e-09,0.0104875116175947,0.0217964540572062
"05BR031",0.438378430349234,0.0100206120360418,0.645060281872847,0.00163339437894033,0.0703400335014981,0.313497943014775,0.432068414961009,0,0.0438732599636449,0.12402564165588,0.00318958489208709,0,0,0.0128482309350583
"01BR018",0.49825088294475,0.0382462250114133,0.179717623452938,0.0271962140700727,0.202170712541535,0.0924482820782721,0.478272618705984,0.00592163617732673,0.0304670864104697,0.0550531177855654,0.02157769279616,0,0,0.0890565165758988
"01BR015",0.626226351170077,0.0096485040419022,0.241177489694221,0.00486737577853183,0.0234993175263371,0.112498960588056,0.745244717567573,0,0.0389974310519512,0.0676856387405492,0,0,3.45762988524568e-09,0.0112634420292198
"06BR006",0.487511007715045,0.00601997109368557,0.374702936455894,0.0167459914541089,0.0822927974602943,0.150404402699568,0.634745052714841,0,0.0759103957437615,0.029396511730687,0,5.86320484428953e-09,0,0.0271041114558205
"18BR017",0.566858757812797,0.00610097180127789,0.294352787189039,0.0132326965409001,0.052052422761179,0.187448104987123,0.602826240047999,0,0.0492259918191338,0.0923524092252599,0,2.69009560541065e-09,3.79585649106752e-09,0.0146721425287564
